site ID,"Depth
(m)",LL(%),PI,LI,e,K0,?'v (kPa),"Su(UCST)
(kPa)",St(UCST),"Su(VST)
(kPa)",St(VST),"ps
(MPa)",?'v /Pa,Su(UCST)/?'v,Su(VST)/?'v,ps/?'v
,,,,,,,,,,,,,,,,
0,4,37.2,16.5,1.06,1.096,0.5,48.5,,,,,0.6,0.478775913129319,,,12.3711340206186
0,5,38.5,16.1,1.18,1.169,0.5,56.5,,,,,1.2,0.557749259624877,,,21.2389380530973
0,6,36.2,15.3,1.42,1.175,0.5,64.5,,,,,0.9,0.636722606120434,,,13.953488372093
0,11,45.2,22,1.27,1.459,,102.7,,,,,0.5,1.01382033563672,,,4.86854917234664
0,14,43.3,20,1.26,1.379,,124.2,,,,,0.5,1.22606120434353,,,4.02576489533011
0,17,43.3,18.7,1.15,1.327,,145.7,,,,,0.6,1.43830207305035,,,4.11805078929307
0,18.5,42.1,17.3,0.92,1.143,,156.8,,,,,0.6,1.54787759131293,,,3.8265306122449
0,20,42.8,20.3,1,1.205,,168.6,,,,,0.7,1.66436327739388,,,4.15183867141163
0,21.5,41.9,18.1,0.92,1.139,,180.5,,,,,0.9,1.78183613030602,,,4.98614958448754
0,23,37,16.7,0.98,1.038,0.49,193.1,,,,,1.1,1.90621915103653,,,5.69653029518384
0,24.5,37.2,15.8,0.82,0.973,0.48,205.8,,,,,,2.03158933859822,,,
0,26,31.9,13.2,1.1,0.969,0.46,218.5,,,,,1.2,2.15695952615992,,,5.49199084668192
0,6,33.7,13,1.23,1.054,,63,,,,,1,0.621915103652517,,,15.8730158730159
0,6.2,33.6,13.1,0.82,0.92,,64.7,,,,,0.8,0.638696939782823,,,12.3647604327666
0,7,37,15.8,1.08,1.108,,71.5,,,,,1,0.705824284304047,,,13.986013986014
0,10,39.5,17.5,1.42,1.325,,95.4,,,,,0.7,0.941757156959526,,,7.33752620545073
0,13,47.5,20.7,1.39,1.545,,117.3,19,4.5,,,0.6,1.15794669299112,0.161977834612106,,5.1150895140665
0,16,41.3,18.7,1.36,1.358,,139.2,,,,,0.6,1.3741362290227,,,4.31034482758621
0,17.5,43.7,20.9,0.82,1.161,,150.2,26,,,,0.6,1.4827245804541,0.173102529960053,,3.99467376830892
0,19,41.8,17.6,0.85,1.119,,161.5,,,,,0.7,1.59427443237907,,,4.3343653250774
0,20.5,42.2,19.3,0.8,1.107,,173.7,,,,,0.8,1.7147087857848,,,4.60564191134139
0,22,33.3,13.1,1.02,0.952,,185.8,,,,,1.3,1.83415597235933,,,6.9967707212056
0,23.5,32.8,13.5,1.16,0.964,,198.7,,,,,1,1.96150049358342,,,5.03271263210871
0,25,37.7,15.5,0.75,0.943,,211.7,,,,,1.1,2.0898321816387,,,5.19603212092584
0,10,42.1,18.4,1.42,1.43,,110.2,16,,,,0.6,1.08785784797631,0.14519056261343,,5.44464609800363
0,13,36.6,16.2,1.19,1.129,,132.4,19,4.9,,,0.6,1.30700888450148,0.143504531722054,,4.53172205438066
0,16,43.4,19.2,1.22,1.367,,154.6,17,4.3,,,0.6,1.52615992102665,0.109961190168176,,3.88098318240621
0,17.5,43.3,20,0.77,1.125,,165.7,28,4.6,,,0.7,1.63573543928924,0.168980084490042,,4.22450211225106
0,19,43.2,18.9,0.77,1.101,,177.8,,,,,0.7,1.75518262586377,,,3.93700787401575
0,20.5,40,17.2,0.87,1.073,,189.8,,,,,0.8,1.87364264560711,,,4.21496311907271
0,22,41.5,19.5,0.95,1.175,,201.9,,,,,0.8,1.99308983218164,,,3.96235760277365
0,23.5,39.6,18,0.93,1.072,,214.7,,,,,1.3,2.11944718657453,,,6.05496040987424
0,25,36.1,14.6,0.9,0.976,,227.8,,,,,1,2.24876604146101,,,4.38981562774363
0,26.5,29.9,12.1,0.96,0.824,,240.9,,,,,4.2,2.37808489634748,,,17.4346201743462
0,28,31.2,12.8,1.05,0.907,0.44,254,,,,,2.8,2.50740375123396,,,11.0236220472441
0,29,33.6,13.6,0.99,0.921,,262.8,,,,,1.6,2.59427443237907,,,6.0882800608828
0,12,36.8,15.8,1.22,1.126,,128.8,,,,,,1.27147087857848,,,
0,13,45.6,21.1,1.25,1.427,,136.4,,,,,,1.34649555774926,,,
0,16,41.3,19.3,1.1,1.206,,159.2,,,,,,1.5715695952616,,,
0,18,43.7,21.2,1,1.219,,174.4,,,,,,1.72161895360316,,,
0,20,42.2,18,0.83,1.117,,190.2,,,,,,1.87759131293189,,,
0,22,42.2,18.1,0.9,1.125,,206.1,,,,,,2.03455083909181,,,
0,24,29.6,12.3,1.15,0.922,,223.1,,,,,,2.20236920039487,,,
0,26,38,16.5,0.74,0.962,,240.5,,,,,,2.3741362290227,,,
0,11,44.8,19.6,1.33,1.423,,107.6,,,,,,1.06219151036525,,,
0,12,33.9,13.8,1.24,1.05,,115.3,,,,,,1.13820335636723,,,
0,13,42.4,19.3,1.34,1.36,,123.1,,,,,,1.21520236920039,,,
0,14,36.7,15.9,1.25,1.122,,130.9,,,,,,1.29220138203356,,,
0,15,39.2,18.2,1.43,1.33,,138.6,,,,,,1.36821322803554,,,
0,16,38.4,17.5,0.93,1.054,,146.4,,,,,,1.44521224086871,,,
0,17,38.9,18.2,0.95,1.076,,154.1,,,,,,1.52122408687068,,,
0,19,38.3,17.4,0.61,0.918,,170.3,,,,,,1.68114511352419,,,
0,21,42.3,18.6,0.9,1.125,,187.3,,,,,,1.84896347482725,,,
0,23,37.2,15.2,0.66,0.917,,205.1,,,,,,2.02467917077986,,,
0,25,29.6,12.1,0.97,0.821,,223.2,,,,,,2.20335636722606,,,
0,13,42,19.1,1.45,1.413,0.56,128,,,,,,1.26357354392892,,,
0,15,34,13,1.18,1.026,0.47,142.1,,,,,,1.40276406712734,,,
0,17,36.7,14.3,0.98,1.057,0.49,158.6,,,,,,1.56564659427443,,,
0,19,40.4,18.6,0.96,1.137,0.53,174.9,,,,,,1.72655478775913,,,
0,21,32.4,12.5,0.98,0.942,0.46,190.8,,,,,,1.88351431391905,,,
0,23,32.3,12.8,1.09,0.93,0.46,208.2,,,,,,2.05528134254689,,,
0,11,46.1,21.5,1.33,1.491,0.57,115.4,,,,,,1.13919052319842,,,
0,13,42.7,18.9,1.32,1.383,0.56,129.4,,,,,,1.27739387956565,,,
0,18,36.7,15.7,1,1.028,,170.4,,,,,,1.68213228035538,,,
0,20,32.3,13,1.41,1.079,,186.8,,,,,,1.84402764067127,,,
0,22,31.9,13.2,1,0.888,,203.3,,,,,,2.00691016781836,,,
0,24,31,12.4,0.97,0.9,,221.2,,,,,,2.18361303060217,,,
0,26,31.2,12.1,0.88,0.857,,239.1,,,,,,2.36031589338598,,,
0,12,45.6,23.3,1.16,1.417,,120.8,,,32.6,4.7,,1.19249753208292,,0.269867549668874,
0,14,44.3,22.2,1.34,1.457,,135.1,,,33.9,5.1,,1.33366238894373,,0.250925240562546,
0,16,43.1,20,1.12,1.318,,149.4,,,37.3,4.8,,1.47482724580454,,0.249665327978581,
0,18,37.3,17.1,1.15,1.13,,163.7,,,,,,1.61599210266535,,,
0,20,42.1,20.6,0.82,1.125,,179.8,,,50.5,4.4,,1.77492596248766,,0.280867630700779,
0,22,37.3,17,0.99,1.047,,196.6,,,57.1,4.3,,1.94076999012833,,0.290437436419125,
0,24,34.7,15.8,1.03,0.974,,214.2,,,68.7,3.8,,2.11451135241856,,0.320728291316527,
0,26,27.2,12.4,0.87,0.77,,231.8,,,,,,2.28825271470879,,,
0,7.1,46.2,22,0.67,1.11,,,,,,,,,,,
0,8.1,46.5,22.8,0.85,1.209,,,,,,,,,,,
0,9.1,41.3,19,1.23,1.281,,,,,,,,,,,
0,10.1,48.9,23.5,0.94,1.331,,,,,,,,,,,
0,11.1,39.8,17.7,0.8,1.019,,,,,,,,,,,
0,12.1,41.8,17.3,1.02,1.189,,,,,,,,,,,
0,13.1,38,16.9,0.99,1.091,,,25,3.5,,,,,,,
0,14.1,33,13.5,1.05,0.955,,,26,,,,,,,,
0,15.1,40.1,17.8,0.89,1.069,,,26,4.4,,,,,,,
0,16.1,39.1,17.3,1.03,1.137,,,27,4.1,,,,,,,
0,17.1,34.3,14.7,0.9,0.951,,,26,3.7,,,,,,,
0,18.1,38.2,17,0.59,0.917,,,,,,,,,,,
0,19.1,37.4,16.4,0.74,0.943,,,,,,,,,,,
0,21.1,35.9,15.3,0.73,0.912,,,28,,,,,,,,
0,23.1,37.6,16.2,0.98,1.048,,,28,4,,,,,,,
0,7.1,44,18,0.79,1.124,,,,,,,,,,,
0,8.1,44,22.5,1.24,1.375,,,,,,,,,,,
0,10.1,37.5,16.2,0.73,0.934,,,24,3.2,,,,,,,
0,12.1,38.2,15.7,0.99,1.06,,,,,,,,,,,
0,14.1,37.9,17,0.89,1.019,,,26,3.2,,,,,,,
0,16.1,34.8,14.2,1,0.989,,,,,,,,,,,
0,18.1,33.4,13.8,0.99,0.958,,,29,3.4,,,,,,,
0,20.1,38.1,16.9,0.99,1.057,,,24,3.4,,,,,,,
0,22.1,32.9,14.6,1.01,0.943,,,26,3.7,,,,,,,
0,24.1,38.1,15.4,0.97,1.043,,,26,3.9,,,,,,,
0,11,47.9,22.8,1.21,1.516,,,,,,,,,,,
0,13,31.3,12.7,1.54,1.053,,,,,,,,,,,
0,15,36.8,14.9,1.02,1.056,,,,,,,,,,,
0,17,40.6,18.4,0.95,1.137,,,,,,,,,,,
0,19,38.9,18,0.99,1.111,,,,,,,,,,,
0,21,40,18.2,1,1.131,,,,,,,,,,,
0,23,34.9,14,0.99,0.993,,,,,,,,,,,
0,7.15,33.5,14.1,,,,,,,,,,,,,
0,17.15,32.9,13.8,,,,,,,,,,,,,
0,6,37.2,15.2,1.5,1.272,,,,,,,,,,,
0,7,34.2,14.3,1.45,1.144,,,,,,,,,,,
0,8,30.9,12.5,1.36,0.98,,,,,,,,,,,
0,12,35.8,16.6,0.78,0.918,,,,,,,,,,,
0,16,31.4,12.8,1.05,0.921,,,,,,,,,,,
0,7.15,32.3,12.7,,,,,,,,,,,,,
0,13,32,13.7,1.39,1.063,,,,,,,,,,,
0,15,38.7,16.1,0.96,1.059,,,,,,,,,,,
0,17,34.2,14.6,0.98,0.955,,,,,,,,,,,
0,19,38.6,16.5,0.97,1.071,,,,,,,,,,,
0,12,45.9,22.3,1.35,1.499,,115.1,,,,,,1.13622902270484,,,
0,14,41.8,19.5,1.29,1.362,,129.1,,,,,,1.27443237907206,,,
0,16,38.5,16.4,1.23,1.169,,143.6,,,,,,1.41757156959526,,,
0,18,37.6,15.7,1.22,1.163,,159.4,,,,,,1.57354392892399,,,
