YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201405,84460,509925,1,2,"N","BAKERSFIELD",30.909,-102.28,3054540,10216800
201405,84460,509932,1,2,"NW","STILES",31.4205,-101.604,3125230,10136240
201405,84460,509935,1,29,"NNE","SANDERSON",30.5378,-102.2139,3032268,10212834
201405,84460,509938,1,0,"N","IRAAN",30.92,-101.88,3055200,10152800
201405,84460,509939,1,0,"N","IRAAN",30.92,-101.88,3055200,10152800
201405,84460,509941,1,0,"N","IRAAN",30.92,-101.88,3055200,10152800
201405,84460,510276,1,44.5,"NE","SANDERSON",30.6054,-101.8721,3036324,10152326
201405,84460,510278,1,0,"N","SHEFFIELD",30.67,-101.83,3040200,10149800
201405,84460,510286,1,1,"S","MC CAMEY",31.1155,-102.23,316930,10213800
201405,84460,511362,1,14,"SE","BAKERSFIELD",30.7367,-102.1132,3044202,1026792
201405,84461,509926,1,.55,"E","HARROGATE",36.58,-83.64,3634800,8338400
201405,84461,509928,1,.55,"E","HARROGATE",36.58,-83.64,3634800,8338400
201405,84461,509929,1,.89,"NW","SPRINGDALE",36.53,-82.56,3631800,8233600
201405,84461,509930,1,.89,"SW","ELIZABETHTON",36.34,-82.23,3620400,8213800
201405,84463,509931,1,1.31,"WNW","JONESVILLE",36.69,-83.12,3641400,837200
201405,84465,509936,1,1.49,"SSE","MORRISTOWN ARPT",36.16,-83.36,369600,8321600
201405,84465,509937,1,2.76,"S","OAK RIDGE",35.98,-84.27,3558800,8416200
201405,84465,509940,1,2.34,"WSW","SCARBORO",35.97,-84.26,3558200,8415600
201405,84465,509942,1,0,"N","HIGHLAND PARK",35.8,-84.27,3548000,8416200
201405,84465,509943,1,.69,"N","WHITE ROCK",35.81,-83.25,3548600,8315000
201405,84465,509944,1,.56,"W","BYRDS CHAPEL",35.92,-84.18,3555200,8410800
201405,84465,509945,1,2.64,"WSW","OAK HILL",35.71,-84.67,3542600,8440200
201405,84465,509946,1,.56,"W","BYRDS CHAPEL",35.92,-84.18,3555200,8410800
201405,84465,509947,1,1.12,"E","UNION GROVE",35.6,-84.56,3536000,8433600
201405,84465,509948,1,1.12,"E","MEADOW",35.67,-84.2,3540200,8412000
201405,84465,509950,1,1.78,"SW","WELLSVILLE",35.58,-84.1,3534800,846000
201405,84465,509951,1,4.18,"N","WARTBURG",36.16,-84.59,369600,8435400
201405,84465,509952,1,4.18,"N","WARTBURG",36.16,-84.59,369600,8435400
201405,84465,509953,1,1.78,"NE","ERNESTVILLE",36.09,-82.48,365400,8228800
201405,84466,509954,1,2.15,"NNW","SYCAMORE HALL",36.48,-83.51,3628800,8330600
201405,84466,509956,1,.56,"W","SHIRLEY CROSSING",36.27,-83.58,3616200,8334800
201405,84466,509957,1,.89,"NW","MT CARMEL",36.56,-82.66,3633600,8239600
201405,84466,509958,1,.89,"NW","SPRINGDALE",36.53,-82.56,3631800,8233600
201405,84467,509959,1,0,"N","WEST KNOXVILLE",35.97,-83.95,3558200,8357000
201406,84468,509961,1,0,"N","MODOC",39.47,-82.13,3928200,827800
201406,84468,509972,1,.66,"S","CROWN CITY",38.5905,-82.2815,3835430,8216890
201406,84468,510346,1,1,"N","HANGING ROCK",38.5645,-82.72,3833870,8243200
201406,84468,510346,2,1,"W","PEDRO",38.63,-82.6885,3837800,8241310
201406,84468,510346,3,0,"W","VERNON",38.7,-82.63,3842000,8237800
201406,84468,510346,4,0,"W","WATERLOO",38.7,-82.47,3842000,8228200
201406,84468,510346,5,.5,"NE","AID",38.6051,-82.4735,3836306,8228410
201406,84468,510346,6,1,"N","SCOTTOWN",38.5645,-82.38,3833870,8222800
201406,84468,510346,7,.9,"SSE","BARRAMVILLE",38.4676,-82.3748,3828056,8222488
201406,84468,510346,8,.48,"NNW","WEST CHESAPEAKE",38.4364,-82.4737,3826184,8228422
201406,84472,509966,1,0,"N","POINT PLEASANT",38.85,-82.12,3851000,827200
201406,84472,509969,1,0,"N","ROCKPORT",39.07,-81.57,394200,8134200
201406,84472,509970,1,1.92,"WSW","PENNSBORO",39.2716,-81.0042,3916296,81252
201406,84472,509970,2,1.25,"WSW","PENNSBORO",39.27,-80.9894,3916200,8059364
201406,84472,509971,1,2.49,"ENE","GUTHRIE",38.4109,-81.6263,3824654,8137578
201406,84472,510207,1,.68,"NNW","RED HOUSE",38.5393,-81.9041,3832358,8154246
201406,84472,510349,1,3.68,"WSW","MOHAWK",37.4775,-81.9908,3728650,8159448
201406,84472,510349,2,1.47,"SW","MOHAWK",37.4879,-81.9522,3729274,8157132
201406,84472,510349,3,.69,"WNW","MOHAWK",37.5043,-81.9414,3730258,8156484
201406,84472,510349,4,.72,"N","MOHAWK",37.5104,-81.9294,3730624,8155764
201406,84472,510349,5,1.25,"SE","PANTHER",37.4683,-81.8827,3728098,8152962
201406,84472,510349,6,3.18,"SSW","PANTHER",37.4383,-81.9247,3726298,8155482
201406,84472,510349,7,3.8,"SSW","MOHAWK",37.4528,-81.9654,3727168,8157924
201406,84472,510349,8,4.14,"SW","MOHAWK",37.4604,-81.9867,3727624,8159202
201406,84472,510358,1,.88,"SW","SKELTON",37.79,-81.19,3747400,8111400
201406,84472,510360,1,3,"SE","MADISON",38.0393,-81.791,382358,8147460
201406,84472,510361,1,0,"N","TURTLE CREEK",38.03,-81.97,381800,8158200
201406,84472,510362,1,2,"S","MADISON",38.0411,-81.83,382466,8149800
201406,84472,510363,1,0,"N","SOD",38.23,-81.85,3813800,8151000
201406,84472,510363,2,0,"N","ALKOL",38.17,-81.92,3810200,8155200
201406,84472,510363,3,0,"N","MYRA",38.22,-82.12,3813200,827200
201406,84472,510363,4,0,"N","SWEETLAND",38.27,-82.03,3816200,821800
201406,84472,510364,1,0,"N","MILTON",38.43,-82.13,3825800,827800
201406,84472,510364,2,2,"NE","MILTON",38.4505,-82.1039,3827030,826234
201406,84472,510364,3,2,"NE","UNION RIDGE",38.5505,-82.1738,3833030,8210428
201406,84472,510364,4,.61,"SSW","CROWN CITY",38.5718,-82.2842,3834308,8217052
201406,84472,510364,5,1,"SSW","COX LNDG",38.4566,-82.3071,3827396,8218426
201406,84472,510365,1,0,"N","BEAVER",37.75,-81.13,3745000,817800
201406,84472,510366,1,0,"N","STANAFORD",37.82,-81.15,3749200,819000
201406,84472,510483,1,1.55,"SSE","RIDERS STORE",38.478,-82.2242,3828680,8213452
201406,84472,510483,2,1.71,"SSE","RIDERS STORE",38.4783,-82.2149,3828698,8212894
201406,84472,510638,1,.9,"ENE","SOUTH RUFFNER",38.3371,-81.6061,3820226,8136366
201404,84473,509967,1,1.46,"W","BRADDOCK HGTS",39.4318,-77.5272,3925908,7731632
201404,84473,509968,1,1.59,"SW","BRADDOCK HGTS",39.4156,-77.5232,3924936,7731392
201402,84474,509973,1,4.19,"WSW","ROWEN",35.2,-118.67,3512000,11840200
201402,84474,509974,1,3.56,"NE","LAKE ISABELLA",35.64,-118.41,3538400,11824600
201402,84474,509975,1,3.55,"NW","TRAVER",36.49,-119.52,3629400,11931200
201402,84474,509975,2,4.97,"NW","TRAVER",36.4964,-119.5484,3629784,11932904
201402,84474,509975,3,2.96,"WNW","TRAVER",36.473,-119.5251,3628380,11931506
201402,84474,509975,4,2.12,"N","TRAVER",36.4804,-119.4856,3628824,11929136
201402,84474,509975,5,3.52,"WSW","DELFT COLONY",36.5053,-119.5107,3630318,11930642
201402,84474,509976,1,1.65,"E","ELLIOTT CORNER",37.47,-119.74,3728200,11944400
201402,84474,509977,1,2.32,"WNW","GLORIETTA",36.86,-119.71,3651600,11942600
201402,84474,509978,1,2.32,"WNW","GLORIETTA",36.86,-119.71,3651600,11942600
201402,84474,509979,1,1.3,"ESE","MELVIN",36.81,-119.65,3648600,11939000
201402,84474,509980,1,0,"N","GLENNVILLE",35.73,-118.7,3543800,11842000
201402,84474,509981,1,1.65,"E","ELLIOTT CORNER",37.47,-119.74,3728200,11944400
201402,84476,510000,1,1.49,"NNW","DINUBA",36.55,-119.39,3633000,11923400
201402,84476,510000,2,2.04,"W","DINUBA",36.5334,-119.4166,3632004,11924996
